Case_ID,Activity,Resource,Complete_Timestamp,case_IDofConceptCase,case_Includes_subCases,case_Responsible_actor,case_SUMleges,case_caseProcedure,case_caseStatus,case_case_type,case_landRegisterID,case_last_phase,case_parts,case_requestComplete,case_termName,action_code,activityNameEN,activityNameNL,concept_name,dateFinished,dateStop,dueDate,lifecycle_transition,monitoringResource,planned,question,Weekday,Anomaly
1,23,20,12840,1,3,10,63,3,2,1,71,6,27,2,2,23,187,209,23,712,1,1573,1,3,16479,269,5,1
1,24,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,24,4,6,24,712,1,1767,1,3,16480,271,1,1
1,25,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,25,140,109,25,712,1,1767,1,3,16480,269,1,1
1,26,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,26,201,249,26,712,1,1767,1,3,16480,277,1,1
1,27,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,27,201,249,27,712,1,1767,1,3,16481,269,1,1
1,33,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,33,222,8,33,712,1,1767,1,3,16484,269,1,1
1,34,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,34,43,201,34,712,1,1767,1,3,16484,271,1,1
1,41,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,41,44,206,41,712,1,1767,1,3,16487,271,1,1
1,42,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,42,189,210,42,712,1,1767,1,3,16485,269,1,1
1,45,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,45,45,99,45,712,1,1767,1,3,16485,271,1,1
1,162,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,162,108,104,162,712,1,1574,1,3,16482,271,1,1
1,174,20,12841,1,3,10,63,3,2,1,71,6,27,2,2,174,192,232,174,712,1,1767,1,3,16483,277,1,1
1,28,20,12842,1,3,10,63,3,2,1,71,6,27,2,2,28,84,175,28,712,1,1767,1,3,16482,269,1,1
1,53,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,53,169,200,53,913,1,1767,1,3,16486,271,2,1
1,61,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,61,141,110,61,913,1,1767,1,3,17006,269,2,1
1,65,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,65,206,75,65,913,1,1767,1,3,17006,271,2,1
1,72,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,72,259,50,72,913,1,1767,1,3,17007,269,2,1
1,73,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,73,22,97,73,913,1,1767,1,3,17008,269,2,1
1,78,5,12900,1,3,10,63,3,2,1,71,6,27,2,2,78,169,200,78,913,1,1767,1,3,17009,271,2,1
