Case ID,Activity,Resource,Complete Timestamp,(case) caseStatus,(case) case_type,(case) last_phase,(case) requestComplete,activityNameEN,activityNameNL,concept:name,dateFinished,lifecycle:transition,monitoringResource,question
566,75,13,20435,1,0,6,1,281,55,75,2108,0,13,409
243,138,6,20726,1,0,23,1,272,32,138,2392,0,2,409
139,147,6,12019,0,0,23,1,119,158,147,1069,0,10,409
1185,26,4,9995,1,0,1,1,3,5,26,482,0,13,411
306,38,1,20924,0,0,15,0,104,198,38,2897,0,4,409
878,30,8,22804,1,0,8,0,91,193,30,1468,0,15,409
970,117,6,23102,0,0,6,1,235,180,117,2585,0,9,409
1006,75,13,18294,1,0,6,0,281,55,75,1958,0,13,409
897,115,13,2291,1,0,8,0,18,267,115,82,0,13,411
1053,44,8,19376,1,0,6,0,202,230,44,2164,0,9,409
342,196,4,23521,0,0,15,0,271,40,196,2893,0,4,411
713,28,4,7452,0,0,6,0,214,272,28,1302,0,13,417
543,58,15,17106,0,0,7,0,212,111,58,1732,0,15,409
628,116,4,20910,0,0,24,1,58,20,116,2433,0,18,409
229,210,11,21031,1,0,5,1,197,234,210,2459,0,12,400
1160,171,18,2150,1,0,6,1,116,115,171,45,0,19,411
167,31,5,16022,0,0,16,1,116,115,31,1596,0,10,411
824,248,4,16988,0,0,24,1,206,26,248,1713,0,4,417
1154,122,8,9242,1,0,6,0,191,243,122,648,0,13,409
567,55,15,17496,0,0,6,1,180,219,55,1827,0,15,411
486,96,13,13794,1,0,23,1,16,59,96,1110,0,13,411
790,137,6,16730,0,0,6,1,52,41,137,1698,0,7,417
733,227,15,8482,0,0,24,1,97,187,227,560,0,15,409
5,198,6,7687,0,0,16,1,84,181,198,3605,0,4,80
1085,167,4,217,0,0,24,1,247,257,167,115,0,20,409
990,96,13,15786,1,0,6,1,16,59,96,1555,0,8,411
180,32,13,19644,1,0,23,1,12,27,32,2201,0,15,417
649,25,4,23693,0,0,24,1,200,229,25,2639,0,4,409
141,25,9,8486,1,0,23,1,200,229,25,668,0,10,409
725,28,4,1797,0,0,6,1,214,272,28,13,0,13,417
763,36,4,10211,1,0,6,1,45,220,36,819,0,15,411
767,185,4,10527,0,0,6,1,205,254,185,1133,0,13,417
492,131,15,16371,0,0,7,1,162,131,131,1634,0,2,409
765,124,6,14219,1,0,6,0,261,68,124,1396,0,7,411
631,118,1,8699,0,0,24,1,65,72,118,595,0,1,417
158,42,6,11235,0,0,23,1,203,231,42,1340,0,10,409
720,35,4,6390,0,0,6,1,239,7,35,3678,0,13,409
222,116,15,18247,0,0,23,1,58,20,116,1956,0,2,409
1097,47,10,5683,1,0,4,0,47,109,47,3244,0,11,411
473,249,1,22143,1,0,26,0,268,261,249,2338,0,1,400
907,44,4,5648,1,0,24,1,202,230,44,3233,0,13,409
89,281,13,9311,0,0,23,1,1,3,281,665,0,10,411
856,25,4,21997,0,0,24,1,200,229,25,2371,0,19,409
1062,121,13,22144,1,0,6,1,120,154,121,2339,0,13,409
893,44,9,2636,0,0,24,1,202,230,44,3037,0,13,409
1152,55,10,8221,1,0,3,0,180,219,55,515,0,21,411
918,27,4,7558,0,0,2,1,151,120,27,3575,0,4,409
536,38,4,13368,1,0,7,1,104,198,38,1292,0,15,409
1110,28,4,3114,1,0,14,1,214,272,28,3111,0,8,417
269,209,15,20602,0,0,23,1,112,271,209,2367,0,13,411
1060,116,20,22448,1,0,6,1,58,20,116,2720,0,13,409
982,63,13,2642,1,0,6,0,152,121,63,3038,0,13,409
386,68,15,5123,0,0,23,1,219,82,68,3452,0,15,411
1104,130,8,3740,1,0,6,1,159,128,130,3198,0,13,409
870,25,9,23663,0,0,6,1,200,229,25,2594,0,10,409
462,139,6,8499,0,0,23,1,95,186,139,542,0,7,409
785,27,4,11601,0,0,18,1,151,120,27,1022,0,15,409
801,248,13,18796,1,0,6,1,206,26,248,1779,0,13,417
889,29,4,4002,0,0,24,1,214,272,29,2978,0,19,409
121,30,9,7995,0,0,23,1,91,193,30,490,0,10,409
272,37,9,19667,0,0,23,1,221,221,37,2200,0,13,409
978,81,7,14678,1,0,6,1,180,219,81,1455,0,8,411
965,171,18,9262,0,0,16,0,116,115,171,663,0,13,411
699,222,13,1351,1,0,6,1,172,148,222,278,0,13,409
967,171,8,9421,0,0,24,0,116,115,171,684,0,1,411
310,37,4,21585,0,0,23,1,221,221,37,2544,0,4,409
1046,117,4,19675,0,0,24,1,235,180,117,2203,0,19,409
435,30,4,2085,0,0,23,1,91,193,30,39,0,15,409
686,76,15,4432,1,0,6,1,22,107,76,3346,0,15,409
1065,139,8,3580,1,0,6,0,95,186,139,3184,0,13,409
837,29,8,18364,0,0,24,0,214,272,29,1969,0,13,409
457,28,1,23696,0,0,24,0,214,272,28,2597,0,21,417
274,147,13,21727,0,0,23,1,119,158,147,2294,0,2,409
116,118,6,14714,0,0,23,1,120,154,118,1461,0,15,409
766,55,15,14100,0,0,6,1,180,219,55,1379,0,15,411
128,114,9,11973,0,0,23,1,264,14,114,716,0,10,411
139,119,6,11649,0,0,23,1,195,242,119,1069,0,10,409
238,138,6,19172,0,0,23,1,272,32,138,2129,0,7,409
1099,137,8,4625,1,0,6,1,52,41,137,3380,0,9,417
440,78,15,8865,1,0,6,1,5,9,78,608,0,15,411
931,302,8,17397,1,0,8,1,110,195,302,1815,0,9,409
1004,89,13,16302,1,0,6,1,123,282,89,1616,0,13,411
387,115,15,1542,0,0,23,1,18,267,115,308,0,15,411
1007,135,6,19160,1,0,6,0,198,235,135,2125,0,7,400
993,75,6,15786,1,0,6,1,281,55,75,1555,0,8,409
6,148,4,5484,0,0,23,1,83,248,148,3155,0,4,409
318,32,4,24085,0,0,1,1,125,0,32,2661,0,12,411
815,293,4,6736,0,0,24,1,232,165,293,3602,0,11,409
162,216,6,16783,0,0,23,1,80,245,216,1615,0,8,409
753,89,4,12340,0,0,24,1,123,282,89,726,0,19,411
329,30,4,22685,1,0,23,1,91,193,30,2763,0,4,409
203,176,13,17630,0,0,16,1,101,190,176,2091,0,11,409
140,106,6,18456,0,0,21,1,78,238,106,2833,0,7,358
755,141,6,15347,1,0,6,1,95,186,141,1194,0,7,409
842,111,6,5648,0,0,8,0,82,247,111,3183,0,15,409
1042,96,13,19307,1,0,6,1,16,59,96,2153,0,13,411
875,47,17,22611,0,0,16,1,47,109,47,2748,0,19,411
740,28,8,1016,0,0,6,1,214,272,28,239,0,15,417
628,285,4,20905,0,0,24,1,14,38,285,2433,0,18,411
1051,250,13,20475,0,0,12,0,41,85,250,2281,0,13,411
924,81,13,2291,0,0,24,1,180,219,81,82,0,13,411
851,166,8,4754,0,0,24,1,196,232,166,3560,0,9,409
241,50,15,18498,0,0,23,1,258,110,50,2000,0,15,409
954,26,9,8214,0,0,6,1,3,5,26,512,0,13,411
73,209,13,1185,0,0,23,1,112,271,209,265,0,10,411
991,75,13,17397,1,0,6,1,281,55,75,1824,0,13,409
633,248,4,23161,0,0,24,1,206,26,248,2823,0,4,417
793,76,13,17835,0,0,6,0,22,107,76,1893,0,13,409
582,32,8,18707,1,0,3,0,125,0,32,1771,0,8,417
1142,48,21,7344,1,0,6,0,280,56,48,3820,0,13,409
956,248,13,15427,1,0,6,0,206,26,248,1226,0,13,417
335,34,4,23061,1,0,23,1,205,254,34,2811,0,4,417
705,115,15,6227,1,0,6,1,18,267,115,3655,0,15,411
669,122,6,3645,1,0,10,1,191,243,122,3177,0,7,409
110,68,13,14659,0,0,16,1,206,26,68,1454,0,1,411
726,76,15,8202,0,0,6,1,22,107,76,511,0,15,409
590,26,9,18903,1,0,6,1,3,5,26,1797,0,13,411
814,248,1,23300,0,0,16,0,206,26,248,2849,0,1,411
547,147,6,22272,1,0,6,0,119,158,147,2686,0,7,409
387,33,15,1528,0,0,23,1,128,1,33,308,0,15,409
1137,26,18,5277,1,0,6,1,3,5,26,3478,0,13,411
230,30,15,18962,0,0,23,0,91,193,30,2464,0,15,409
280,28,5,21996,0,0,2,1,214,272,28,2312,0,4,417
877,87,13,6411,1,0,24,0,17,161,87,3684,0,13,409
1014,27,18,15701,0,0,12,0,151,120,27,1543,0,13,409
599,124,10,8876,0,0,24,0,261,68,124,609,0,11,411
971,27,4,12598,1,0,13,1,151,120,27,771,0,13,409
522,138,6,16539,1,0,7,0,272,32,138,1667,0,7,409
566,138,13,19142,1,0,6,1,272,32,138,2123,0,13,409
