Case ID_Prev0,Activity_Prev0,Resource_Prev0,Complete Timestamp_Prev0,(case) IDofConceptCase_Prev0,(case) Includes_subCases_Prev0,(case) Responsible_actor_Prev0,(case) SUMleges_Prev0,(case) caseProcedure_Prev0,(case) caseStatus_Prev0,(case) case_type_Prev0,(case) landRegisterID_Prev0,(case) last_phase_Prev0,(case) parts_Prev0,(case) requestComplete_Prev0,(case) termName_Prev0,action_code_Prev0,activityNameEN_Prev0,activityNameNL_Prev0,concept:name_Prev0,dateFinished_Prev0,dateStop_Prev0,dueDate_Prev0,lifecycle:transition_Prev0,monitoringResource_Prev0,planned_Prev0,question_Prev0,Case ID,Activity,Resource,Complete Timestamp,(case) IDofConceptCase,(case) Includes_subCases,(case) Responsible_actor,(case) SUMleges,(case) caseProcedure,(case) caseStatus,(case) case_type,(case) landRegisterID,(case) last_phase,(case) parts,(case) requestComplete,(case) termName,action_code,activityNameEN,activityNameNL,concept:name,dateFinished,dateStop,dueDate,lifecycle:transition,monitoringResource,planned,question
1021,135,14,19585,810,0,6,49,2,0,0,140,6,4,1,1,135,198,235,135,2024,2,3340,0,17,24074,400,1021,137,14,19585,810,0,6,49,2,0,0,140,6,4,1,1,137,52,41,137,2024,2,3340,0,17,24075,417
524,88,7,3842,810,0,9,320,2,1,0,140,23,37,1,1,88,149,126,88,2953,2,3340,0,12,38879,409,524,89,7,3842,810,0,9,320,2,1,0,140,23,37,1,1,89,123,282,89,2953,2,3340,0,4,8788,411
895,140,14,7486,582,0,6,238,2,0,0,140,6,36,1,1,140,241,174,140,3523,2,3340,0,17,18502,409,895,141,14,5579,582,0,6,238,2,0,0,140,6,36,1,1,141,95,186,141,3523,2,3340,0,17,18503,409
771,248,7,19561,480,0,9,208,2,1,0,140,6,4,1,1,248,206,26,248,2187,2,3340,0,4,15618,417,771,285,7,19566,480,0,9,208,2,1,0,140,6,4,1,1,285,14,38,285,2187,2,3340,0,4,15623,411
103,47,2,5683,79,2,9,257,2,1,0,140,6,20,1,1,47,47,109,47,3244,2,3340,0,2,35371,411,103,55,2,5683,79,2,9,257,2,1,0,140,6,20,1,1,55,180,219,55,3244,2,3340,0,2,35939,411
61,255,2,3221,41,2,16,600,2,1,0,88,6,25,0,1,255,90,252,255,3184,2,3340,0,2,35707,294,61,256,2,3577,41,2,16,600,2,1,0,88,6,25,0,1,256,148,123,256,3184,2,3340,0,2,35708,409
1142,137,16,10795,769,2,9,222,2,1,0,86,6,4,1,1,137,52,41,137,896,2,3340,0,19,29991,417,1142,138,16,10795,769,2,9,222,2,1,0,86,6,4,1,1,138,272,32,138,896,2,3340,0,19,29992,409
653,33,5,12597,393,0,9,160,1,1,0,140,8,70,0,13,33,128,1,33,770,2,3340,0,21,20434,409,653,37,12,8765,393,0,9,160,1,1,0,140,8,70,0,13,37,221,221,37,384,2,3340,0,21,11498,409
856,37,12,22568,810,0,6,613,2,0,0,140,24,52,1,13,37,221,221,37,2744,2,3340,0,14,16706,409,856,38,12,22568,810,0,6,613,2,0,0,140,24,52,1,13,38,104,198,38,2744,2,3340,0,14,16707,409
109,25,12,3189,80,2,9,142,2,1,0,0,6,4,1,1,25,200,229,25,3131,2,3166,0,14,35462,409,109,26,12,3221,80,2,9,142,2,1,0,0,6,4,1,1,26,3,5,26,3131,2,3340,0,2,35463,411
501,55,12,2379,321,1,11,613,2,0,0,37,15,52,0,13,55,180,219,55,3000,2,3340,0,14,8895,411,501,57,9,23536,321,1,11,613,2,0,0,37,15,52,0,13,57,206,26,57,2897,2,3340,0,14,8667,411
273,68,5,15563,810,0,6,91,2,0,0,140,23,4,1,13,68,206,26,68,1527,2,3340,0,2,4573,417,273,69,5,15563,810,0,6,91,2,0,0,140,23,4,1,13,69,152,121,69,1527,2,3340,0,12,38879,409
212,42,17,4542,810,0,6,34,2,0,0,140,23,82,1,7,42,203,231,42,3227,2,3340,0,20,129,409,212,46,17,5606,810,0,6,34,2,0,0,140,23,82,1,7,46,280,56,46,3227,2,3340,0,20,119,409
375,216,7,17630,244,0,9,406,2,1,0,140,23,4,1,1,216,80,245,216,2201,2,3340,0,4,5664,409,375,217,7,17694,244,0,9,406,2,1,0,140,23,4,1,1,217,70,66,217,2201,2,3340,0,4,5665,409
785,217,7,19767,494,0,9,312,2,1,0,140,6,4,1,1,217,80,245,217,2219,2,3340,0,4,15723,409,785,219,7,19768,494,0,9,312,2,1,0,140,6,4,1,1,219,36,156,219,2220,2,3340,0,4,38879,409
627,44,17,1788,380,0,6,325,2,0,0,48,23,82,1,1,44,202,230,44,8,2,3340,0,4,38879,121,627,46,7,1228,380,0,6,325,2,0,0,48,23,82,1,1,46,280,56,46,272,2,3340,0,4,10778,409
1111,139,14,6835,746,0,6,272,2,1,0,140,6,44,1,1,139,95,186,139,3751,2,3340,0,18,27997,409,1111,140,14,6833,746,0,6,272,2,1,0,140,6,44,1,1,140,241,174,140,3751,2,3340,0,18,27998,409
321,87,17,11999,220,1,11,613,2,0,0,140,5,52,1,13,87,17,161,87,718,2,3340,0,14,2506,409,321,88,17,11999,220,1,11,613,2,0,0,140,5,52,1,13,88,149,126,88,718,2,3340,0,14,38879,409
302,46,9,13105,205,0,8,613,1,0,0,140,16,65,1,7,46,280,56,46,1980,2,3340,0,11,3646,409,302,50,9,13110,205,0,8,613,1,0,0,140,16,65,1,7,50,258,110,50,1980,2,3340,0,11,3648,409
653,255,5,10386,393,0,9,160,1,1,0,140,8,70,0,13,255,90,252,255,846,2,3340,0,21,20709,75,653,285,5,10395,393,0,9,160,1,1,0,140,8,70,0,13,285,14,38,285,846,2,3340,0,21,20718,411
641,27,17,748,383,0,9,336,2,1,0,108,23,4,1,1,27,151,120,27,187,2,3340,0,12,38879,409,641,28,17,749,383,0,9,336,2,1,0,108,23,4,1,1,28,214,272,28,187,2,3340,0,4,38879,417
112,55,2,5683,810,2,16,110,2,1,0,140,6,44,0,1,55,180,219,55,3244,2,3340,0,2,35968,411,112,63,2,248,810,2,16,110,2,1,0,140,6,44,0,1,63,152,121,63,120,2,3340,0,2,37575,409
630,25,12,1779,810,0,6,98,2,0,0,140,23,4,1,1,25,200,229,25,39,2,1696,0,4,10813,409,630,26,12,2083,810,0,6,98,2,0,0,140,23,4,1,1,26,3,5,26,39,2,3340,0,4,38879,411
817,248,5,21452,518,0,6,287,2,0,0,140,6,4,1,1,248,206,26,248,2526,2,3340,0,2,15907,417,817,285,5,21459,518,0,6,287,2,0,0,140,6,4,1,1,285,14,38,285,2526,2,3340,0,2,16187,411
865,96,5,4246,557,0,9,414,2,1,0,140,6,24,1,1,96,16,59,96,3314,2,3340,0,2,17949,411,865,115,5,4248,557,0,9,414,2,1,0,140,6,24,1,1,115,18,267,115,3314,2,3340,0,2,17951,411
356,119,14,17753,810,1,6,457,2,0,0,140,23,4,1,1,119,195,242,119,1879,2,3340,0,12,5738,409,356,138,14,17777,810,1,6,457,2,0,0,140,23,4,1,1,138,272,32,138,1879,2,3340,0,12,5739,409
1171,142,5,17220,790,2,16,514,2,1,0,134,6,4,0,1,142,94,184,142,1509,2,3340,0,19,31288,409,1171,143,5,17220,790,2,16,514,2,1,0,134,6,4,0,1,143,160,129,143,1509,2,3340,0,19,31289,409
113,89,2,2168,810,2,16,392,2,1,0,140,6,44,0,1,89,123,282,89,55,2,3340,0,2,37380,411,113,96,2,2168,810,2,16,392,2,1,0,140,6,44,0,1,96,16,59,96,55,2,3340,0,2,37381,411
215,115,12,5054,810,1,17,613,2,0,0,140,5,52,1,13,115,18,267,115,3440,2,3340,0,20,366,411,215,116,12,5054,810,1,17,613,2,0,0,140,5,52,1,13,116,58,20,116,3440,2,3340,0,20,38879,409
917,87,5,9643,599,0,9,98,2,1,0,140,6,4,1,1,87,17,161,87,424,2,3340,0,2,19800,409,917,88,5,9643,599,0,9,98,2,1,0,140,6,4,1,1,88,149,126,88,424,2,3340,0,2,19801,409
1117,131,2,6178,750,1,1,613,2,0,0,140,24,39,1,13,131,162,131,131,3642,2,3340,0,2,36862,409,1117,135,2,6178,750,1,1,613,2,0,0,140,24,39,1,13,135,198,235,135,3642,2,3340,0,2,36862,106
207,37,5,11727,810,0,9,613,2,1,0,140,16,46,1,7,37,221,221,37,1045,2,3340,0,2,12891,409,207,38,5,11727,810,0,9,613,2,1,0,140,16,46,1,7,38,104,198,38,1045,2,3340,0,2,12892,409
